Country,Region,Population,Area (sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Crops (%),Climate,Birthrate,Deathrate,Agriculture
Croatia ,EASTERN EUROPE                     ,4494749,56542,"6,84",10600,"98,5","2,27",,"9,61","11,48","0,07"
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,"6,33",2900,"97,0","7,6",2,"11,89","7,22","0,055"
Cyprus ,NEAR EAST                          ,784301,9250,"7,18",19200,"97,6","4,44",3,"12,56","7,68","0,037"
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,"3,93",15700,"99,9","3,05",3,"9,02","10,59","0,034"
Denmark ,WESTERN EUROPE                     ,5450661,43094,"4,56",31100,"100,0","0,19",3,"11,13","10,36","0,018"
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,"104,13",1300,"67,9",0,1,"39,53","19,31","0,179"
Dominica ,LATIN AMER. & CARIB    ,68910,754,"14,15",5400,"94,0",20,2,"15,27","6,73","0,177"
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,"32,38",6000,"84,7","10,33",2,"23,22","5,73","0,112"
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,"47,41",500,"58,6","0,67",2,"26,99","6,24","0,085"
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,"23,66",3300,"92,5","4,93",2,"22,29","4,23","0,07"
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,"32,59",4000,"57,7","0,48",1,"22,94","5,23","0,149"
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,"25,1",4800,"80,2","12,07",2,"26,61","5,78","0,099"
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,"85,13",2700,"85,7","3,57",2,"35,59","15,06","0,03"
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,"74,87",700,"58,6","0,03","1,5","34,33","9,6","0,102"
Estonia ,BALTICS                            ,1324333,45226,"7,87",12300,"99,8","0,45",3,"10,04","13,25","0,04"
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,"95,32",700,"42,7","0,75",2,"37,98","14,86","0,475"
Faroe Islands ,WESTERN EUROPE                     ,47246,1399,"6,24",22000,,0,,"14,05","8,7","0,27"
Fiji ,OCEANIA                            ,905949,18270,"12,62",5800,"93,7","4,65",2,"22,55","5,65","0,089"
Finland ,WESTERN EUROPE                     ,5231372,338145,"3,57",27400,"100,0","0,03",3,"10,45","9,86","0,028"
France ,WESTERN EUROPE                     ,60876136,547030,"4,26",27600,"99,0","2,07",4,"11,99","9,14","0,022"
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,"12,07",8300,"83,0","0,05",2,"20,46","4,88","0,066"
French Polynesia ,OCEANIA                            ,274578,4167,"8,44",17500,"98,0","5,46",2,"16,68","4,69","0,031"
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,"53,64",5500,"63,2","0,66",2,"36,16","12,25","0,061"
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,11300,"72,02",1700,"40,1","0,5",2,"39,37","12,25","0,308"
Gaza Strip ,NEAR EAST                          ,1428757,360,"22,93",600,,"21,05",3,"39,45","3,8","0,03"
Georgia ,C.W. OF IND. STATES ,4661473,69700,"18,59",2500,"99,0","3,86",3,"10,41","9,23","0,172"
Germany ,WESTERN EUROPE                     ,82422299,357021,"4,16",27600,"99,0","0,59",3,"8,25","10,62","0,009"
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,"51,43",2200,"74,8","9,67",2,"30,52","9,72","0,366"
Gibraltar ,WESTERN EUROPE                     ,27928,7,"5,13",17500,,0,,"10,74","9,31",
Greece ,WESTERN EUROPE                     ,10688058,131940,"5,53",20000,"97,5","8,78",3,"9,68","10,24","0,054"
Greenland ,NORTHERN AMERICA                   ,56361,2166086,"15,82",20000,,0,1,"15,93","7,84",
Grenada ,LATIN AMER. & CARIB    ,89703,344,"14,62",5000,"98,0","29,41",2,"22,08","6,88","0,054"
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,"8,6",8000,"90,0","3,55",2,"15,05","6,09","0,15"
Guam ,OCEANIA                            ,171019,541,"6,94",21000,"99,0","16,36",2,"18,79","4,48",
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,"35,93",4100,"70,6","5,03",2,"29,88","5,2","0,227"
Guernsey ,WESTERN EUROPE                     ,65409,78,"4,71",20000,,,3,"8,81","10,01","0,03"
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,"90,37",2100,"35,9","2,58",2,"41,76","15,48","0,237"
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,"107,17",800,"42,4","8,82",2,"37,22","16,53","0,62"
Guyana ,LATIN AMER. & CARIB    ,767245,214970,"33,26",4000,"98,8","0,15",2,"18,28","8,28","0,37"
Haiti ,LATIN AMER. & CARIB    ,8308504,27750,"73,45",1600,"52,9","11,61",2,"36,44","12,17","0,28"
Honduras ,LATIN AMER. & CARIB    ,7326496,112090,"29,32",2600,"76,2","3,22",2,"28,24","5,28","0,139"
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,"2,97",28800,"93,5","1,01",2,"7,29","6,29","0,001"
Hungary ,EASTERN EUROPE                     ,9981334,93030,"8,57",13900,"99,4","2,06",3,"9,72","13,11","0,037"
Iceland ,WESTERN EUROPE                     ,299388,103000,"3,31",30900,"99,9",0,3,"13,64","6,72","0,086"
India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,"56,29",2900,"59,5","2,74","2,5","22,01","8,18","0,186"
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,"35,6",3200,"87,9","7,23",2,"20,34","6,25","0,134"
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,"41,58",7000,"79,4","1,39",1,17,"5,55","0,116"
Iraq ,NEAR EAST                          ,26783383,437072,"50,25",1500,"40,4","0,78",1,"31,98","5,37","0,073"
Ireland ,WESTERN EUROPE                     ,4062235,70280,"5,39",29600,"98,0","0,03",3,"14,45","7,82","0,05"
Isle of Man ,WESTERN EUROPE                     ,75441,572,"5,93",21000,,0,3,"11,05","11,19","0,01"
Israel ,NEAR EAST                          ,6352117,20770,"7,03",19800,"95,4","4,17",3,"17,97","6,18","0,026"
Italy ,WESTERN EUROPE                     ,58133509,301230,"5,94",26700,"98,6","9,53",,"8,72","10,4","0,021"
Jamaica ,LATIN AMER. & CARIB    ,2758124,10991,"12,36",3900,"87,9","10,16",2,"20,82","6,52","0,049"
Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,"3,26",28200,"99,0","0,96",3,"9,37","9,16","0,017"
